Python;Java;C++;JavaScript;C#;PHP;Ruby;Swift;Go;Rust;Others;Software_Development_Experience;Database_Management;Networking_Skills;Web_Development_Experience;Communication_Skills;Problem_Solving_Abilities;Teamwork_Collaboration;Time_Management;Adaptability;Career_Goals
7;8;2;5;9;8;4;7;0;2;7;0;2;7;0;8;0;7;1;8;Database Administrator
0;2;5;6;8;0;9;5;3;2;6;5;5;5;9;8;8;5;3;6;Technical Writer
5;3;2;3;2;8;5;6;1;9;7;1;6;9;0;6;1;3;9;0;Mobile App Developer
7;6;5;5;1;4;9;1;5;9;0;0;9;0;6;9;8;3;7;7;Computer Programmer
6;0;7;4;7;9;4;1;9;8;9;4;9;1;3;5;5;0;8;5;Artificial Intelligence Engineer
0;8;5;3;3;9;2;8;4;5;9;9;0;6;8;2;0;6;2;6;Cloud Architect
7;3;5;4;8;8;8;0;2;9;8;3;3;9;6;8;9;4;5;7;IT Consultant
3;6;3;0;1;2;4;4;9;9;0;9;8;8;9;0;5;9;1;7;Mobile App Developer
9;2;5;8;9;9;5;7;1;9;7;0;7;7;8;5;7;4;5;5;Software Engineer
7;3;5;1;4;3;3;6;2;7;2;9;4;5;1;1;1;4;2;2;IT Support Specialist
1;4;0;4;3;7;3;2;5;8;2;7;0;6;6;6;5;9;8;2;Research Scientist
7;8;6;3;1;0;8;5;1;1;1;3;0;1;2;8;1;7;4;1;IT Support Specialist
1;1;5;8;0;9;8;6;4;9;3;3;8;7;5;5;7;2;2;0;Artificial Intelligence Engineer
2;7;8;1;7;1;6;1;6;5;7;8;9;1;0;2;3;8;8;3;Computer and Information Systems Manager
6;7;0;2;6;8;5;4;6;4;7;4;4;3;2;3;9;0;0;7;IT Project Manager
1;3;0;2;8;1;8;9;2;6;3;3;1;5;2;8;0;0;1;5;IT Project Manager
2;9;6;1;1;4;7;1;8;4;5;4;8;8;9;1;5;4;6;3;Research Scientist
7;9;4;0;1;3;3;6;3;8;9;5;6;5;4;6;8;7;6;9;Machine Learning Engineer
7;7;2;2;5;4;3;3;2;6;3;0;9;7;9;0;4;4;2;4;Software Developer
2;3;4;1;6;6;3;3;8;2;7;3;8;6;7;0;4;2;9;0;Computer Network Architect
8;5;8;2;5;7;3;1;2;7;4;8;7;4;3;8;1;2;7;1;Software Developer
5;9;9;8;9;8;4;1;7;9;2;4;8;4;0;7;0;7;5;6;IT Consultant
0;3;1;0;2;2;8;6;1;8;7;6;7;3;3;7;9;5;2;1;Computer Hardware Engineer
1;4;4;4;3;5;1;1;9;1;6;1;4;2;2;9;9;7;4;6;Artificial Intelligence Engineer
4;6;6;6;1;1;0;2;0;9;3;4;5;5;6;3;6;3;5;1;Game Developer
2;8;1;8;8;9;0;1;2;7;7;2;7;2;0;4;3;6;2;5;IT Project Manager
3;3;5;3;1;0;3;4;9;8;1;9;8;8;3;3;6;8;8;3;Front End Developer
1;2;2;6;8;2;3;7;2;8;1;3;1;9;0;3;8;5;8;2;Computer Network Architect
3;5;6;9;4;0;4;6;6;6;9;1;3;3;2;7;9;9;2;2;Computer Systems Analyst
6;2;4;3;4;8;5;6;0;2;7;5;4;7;1;2;0;7;2;9;Data Scientist
6;4;8;7;2;6;8;0;2;5;9;1;6;6;5;5;6;6;6;2;Digital Marketing Specialist
1;4;0;7;9;0;7;5;9;4;7;8;5;4;2;5;4;6;4;1;Research Scientist
2;3;7;3;3;7;7;9;8;0;6;8;7;8;2;5;1;9;9;5;Back End Developer
2;7;8;6;6;4;2;9;0;5;5;8;0;0;7;7;3;9;0;2;Computer and Information Systems Manager
2;0;6;7;9;9;6;2;0;3;1;3;7;1;6;6;3;0;6;5;Front End Developer
8;2;7;3;5;0;4;6;5;4;0;3;0;0;1;4;0;4;0;2;Back End Developer
8;9;5;0;1;9;6;0;7;1;7;9;2;6;1;4;3;4;6;8;Back End Developer
3;9;5;6;3;4;1;0;3;3;7;4;1;8;4;5;6;5;3;4;Web Developer
3;5;8;9;0;5;5;3;1;0;0;1;2;5;5;6;7;6;8;5;Embedded Systems Engineer
2;2;6;9;9;7;3;4;9;3;9;0;0;5;7;4;6;7;8;8;Full Stack Developer
8;8;7;7;5;4;4;5;5;5;6;4;8;3;7;7;3;4;4;3;Computer Science Teacher
1;4;4;8;2;0;7;0;2;6;0;8;0;5;2;5;5;7;9;0;Research Scientist
2;0;2;6;5;1;6;4;2;6;4;5;3;8;2;2;2;8;8;2;IT Consultant
1;2;8;4;5;9;3;7;5;9;1;3;9;7;5;9;6;0;5;5;Network Administrator
9;1;1;6;2;5;1;1;8;6;2;2;4;5;2;9;9;2;0;3;Cybersecurity Analyst
7;4;7;9;8;5;1;7;7;1;1;1;2;1;0;8;7;4;8;1;Systems Analyst
3;5;6;4;7;6;9;7;9;5;2;3;2;9;4;9;5;5;9;0;Web Developer
9;4;7;1;0;4;5;2;4;5;1;5;3;5;3;4;3;6;1;2;Software Engineer
8;8;3;3;7;9;2;8;7;8;9;3;1;0;2;8;9;7;2;6;Research Scientist
0;9;1;8;3;8;2;3;4;1;7;2;3;5;4;7;0;2;4;8;Cybersecurity Analyst
5;2;2;1;7;5;4;3;6;1;0;7;2;1;1;6;4;7;2;2;Data Scientist
4;3;4;1;9;9;3;3;1;8;9;7;2;1;6;0;9;5;6;5;Database Administrator
6;4;8;8;4;0;4;5;2;6;0;9;1;0;0;0;8;1;8;9;DevOps Engineer
1;5;5;0;1;2;0;2;5;7;1;7;6;1;0;4;9;7;6;2;IT Consultant
1;1;4;4;4;9;8;5;4;4;4;7;5;2;4;5;6;4;9;1;Computer Network Architect
4;6;6;5;2;4;0;4;1;3;8;6;6;0;5;4;8;9;3;5;Computer Systems Analyst
4;3;7;4;3;0;4;2;0;5;5;3;0;4;4;1;1;3;8;4;IT Project Manager
5;8;6;9;3;3;7;4;5;1;9;3;2;6;6;5;6;2;3;8;Computer and Information Systems Manager
3;6;7;1;9;5;0;2;7;6;5;9;2;3;5;0;3;4;8;1;Full Stack Developer
0;5;1;2;6;1;0;4;0;4;0;1;9;4;9;3;0;4;7;8;Quality Assurance Engineer
7;7;1;5;5;2;8;5;8;2;5;0;1;2;0;0;3;5;2;3;Computer Systems Analyst
7;5;0;3;7;7;4;8;6;2;6;5;7;9;4;3;6;9;8;7;Software Developer
2;2;9;0;4;1;0;8;6;1;3;3;3;7;1;1;2;4;0;0;Business Intelligence Analyst
2;6;7;4;6;5;7;3;6;4;7;9;2;1;6;9;6;8;4;3;Computer Systems Manager
0;2;9;7;4;9;2;9;9;1;2;8;2;5;2;1;5;4;2;3;Computer Science Teacher
1;2;4;9;1;9;7;9;7;5;8;8;1;6;5;3;8;8;5;8;Data Scientist
4;5;1;7;2;5;2;6;9;1;7;0;0;1;8;3;8;3;7;7;Web Developer
1;7;0;0;7;4;0;1;3;6;0;0;0;9;7;6;7;2;4;4;UI/UX Designer
7;2;6;1;7;1;5;3;2;7;0;7;3;0;2;5;2;5;1;7;Business Intelligence Analyst
2;5;2;1;7;7;4;6;1;0;2;2;2;8;4;2;3;2;5;4;Technical Support Engineer
5;3;3;1;6;8;9;8;4;7;7;3;7;2;4;9;4;8;7;8;Mobile App Developer
8;2;1;2;3;5;1;6;1;2;1;8;7;1;5;0;2;3;5;8;Technical Support Engineer
7;6;0;8;3;8;0;0;9;0;6;3;2;9;3;8;5;6;8;4;Computer Network Architect
7;3;0;5;4;1;7;7;9;0;2;8;6;2;3;6;5;3;2;8;IT Support Specialist
4;7;2;0;3;8;5;6;0;1;6;3;6;1;7;5;2;5;4;0;Mobile App Developer
1;3;3;9;6;6;0;3;5;4;0;5;0;8;7;7;0;4;7;5;Business Intelligence Analyst
5;9;2;2;2;7;9;9;7;5;1;4;8;4;8;8;9;2;1;2;Artificial Intelligence Engineer
1;5;2;1;2;5;9;0;7;2;7;9;6;6;6;1;2;7;5;5;Database Administrator
6;3;8;7;6;6;0;5;1;8;2;0;4;5;4;3;0;1;7;0;Database Administrator
0;4;1;5;6;1;7;3;5;1;7;6;6;5;6;6;7;1;7;6;DevOps Engineer
7;2;4;0;5;3;3;2;1;8;3;0;0;4;0;6;3;0;5;8;Network Administrator
8;5;6;8;8;7;1;4;1;7;8;5;1;2;2;7;0;7;0;2;Computer Science Teacher
6;9;4;5;6;9;9;9;6;1;2;0;9;0;4;5;0;6;4;8;Business Intelligence Analyst
1;3;8;9;2;8;7;5;7;7;2;5;4;8;3;3;5;6;5;8;Artificial Intelligence Engineer
0;2;5;2;9;0;1;8;8;9;4;7;2;6;9;8;1;5;2;3;DevOps Engineer
3;9;8;3;6;1;3;6;5;4;2;7;8;3;0;4;3;6;4;0;Digital Marketing Specialist
2;2;8;3;2;8;0;6;2;2;1;6;4;0;4;6;7;6;5;7;UI/UX Designer
5;7;3;5;3;8;9;6;2;2;8;3;5;0;7;5;9;5;9;5;Technical Support Engineer
7;2;4;4;7;2;2;4;5;6;9;9;5;3;4;4;6;8;7;7;Embedded Systems Engineer
7;3;1;3;5;0;7;0;4;3;4;0;4;8;7;3;1;6;0;4;Research Scientist
9;0;2;7;3;7;4;7;9;7;0;7;2;8;6;3;7;3;4;0;Business Intelligence Analyst
1;1;9;3;5;8;3;4;4;4;7;5;7;3;4;0;8;6;7;9;Back End Developer
7;3;1;7;9;7;2;5;1;9;5;6;5;1;6;2;9;6;4;1;Technical Support Engineer
9;4;2;8;3;1;1;9;4;4;3;1;4;8;1;7;3;1;4;7;Software Tester
7;3;1;4;5;3;9;9;0;8;1;5;7;8;1;3;7;7;9;0;Business Intelligence Analyst
5;7;2;4;1;5;7;4;9;0;6;3;6;8;8;6;8;4;7;0;Technical Writer
1;7;7;7;1;2;5;4;8;3;2;5;6;0;3;1;2;7;2;7;Network Administrator
4;3;3;4;0;3;1;1;4;3;3;8;7;8;3;9;5;8;0;2;Cybersecurity Analyst
5;4;7;7;4;1;8;7;5;6;6;5;0;8;3;0;1;4;9;1;Game Developer
5;1;8;4;9;8;1;0;3;2;9;8;4;4;7;2;9;5;2;6;Systems Analyst
3;8;2;6;9;2;9;1;2;7;8;8;2;2;8;9;2;8;9;1;Software Developer
6;0;2;5;2;3;3;5;9;6;3;8;3;7;6;4;3;0;9;9;Digital Marketing Specialist
4;5;4;7;5;1;6;5;3;7;4;5;6;8;0;4;1;5;1;3;Blockchain Developer
7;0;1;7;9;6;0;0;6;3;8;7;8;8;2;9;9;7;8;5;Software Developer
8;2;8;0;1;9;2;0;5;4;5;5;5;8;1;7;3;2;2;6;Embedded Systems Engineer
9;8;5;3;5;3;6;9;8;7;5;8;7;1;3;1;8;7;4;1;UI/UX Designer
9;9;6;6;6;2;8;9;0;7;3;6;6;2;5;6;9;5;8;4;Cloud Architect
3;4;5;8;3;0;0;4;7;7;8;6;3;4;2;6;2;4;2;3;Network Engineer
7;3;1;3;0;7;3;5;8;3;2;9;9;1;2;3;0;8;6;4;Blockchain Developer
4;4;9;0;2;0;0;2;4;8;4;0;6;9;3;8;8;9;6;3;Software Engineer
4;3;9;9;7;8;0;7;5;6;4;1;0;6;5;6;4;4;7;3;DevOps Engineer
8;9;7;0;5;6;0;2;0;2;9;5;3;0;9;0;2;4;5;3;Network Administrator
1;4;3;0;5;8;7;3;0;4;9;1;0;5;9;8;6;5;6;3;Back End Developer
8;8;0;0;9;8;4;8;9;4;5;5;8;4;1;4;6;2;2;9;Database Administrator
1;0;3;4;2;1;3;6;0;1;1;2;8;5;7;2;4;7;2;2;Software Developer
6;1;1;1;7;0;7;8;1;3;4;7;4;0;2;8;6;4;8;4;Front End Developer
8;3;6;1;4;1;9;0;1;6;2;4;3;0;4;2;1;5;9;7;Systems Analyst
0;3;0;5;0;8;9;7;4;7;8;5;4;1;6;5;9;0;5;8;Technical Support Engineer
0;0;1;8;9;6;3;9;7;1;8;3;4;7;5;7;3;1;7;2;Cloud Architect
9;8;4;5;6;1;2;9;2;0;7;7;0;5;5;0;8;7;6;4;Computer Network Architect
7;9;2;4;8;2;6;5;7;0;8;2;7;7;6;8;1;1;9;0;Web Developer
1;8;8;3;8;4;8;7;6;2;4;0;5;8;2;4;9;1;7;4;Mobile App Developer
9;6;7;1;8;3;9;4;0;6;4;4;2;4;3;6;2;5;8;6;Computer Network Architect
7;8;1;6;3;5;5;4;4;5;0;0;1;7;7;4;7;8;6;5;Front End Developer
1;3;6;2;0;4;0;9;6;8;0;3;6;1;2;3;4;5;5;8;Machine Learning Engineer
6;6;7;7;1;7;8;2;2;4;8;8;5;7;7;0;7;5;5;9;Computer Science Teacher
0;8;3;1;7;7;9;2;5;9;0;6;1;5;4;4;1;2;1;4;Web Developer
6;6;3;6;6;1;5;9;2;4;5;2;7;4;0;9;6;2;7;6;Web Developer
4;1;0;5;9;5;9;0;7;8;5;3;2;4;3;7;3;1;3;5;Front End Developer
8;8;5;4;8;6;9;6;9;4;1;5;4;0;0;9;7;3;5;9;DevOps Engineer
6;3;9;0;0;4;4;3;6;0;7;9;3;4;2;0;4;2;3;1;Computer and Information Systems Manager
3;2;3;2;9;9;6;5;7;0;7;1;7;9;7;1;5;4;1;9;UI/UX Designer
8;5;9;4;4;7;9;8;4;8;1;8;9;0;0;9;0;0;3;2;Machine Learning Engineer
1;6;0;7;9;8;1;4;7;7;0;7;4;7;7;7;4;3;5;5;Network Administrator
6;3;6;9;0;1;5;5;8;4;5;9;6;2;4;8;4;4;7;6;Mobile App Developer
5;3;0;4;3;0;0;6;2;3;7;3;8;6;0;4;2;3;2;7;Computer Network Architect
5;5;7;0;8;9;4;0;7;6;1;7;4;5;7;2;1;3;1;4;Software Developer
3;0;9;6;0;3;8;5;9;0;0;4;0;6;1;8;5;5;8;2;Computer Hardware Engineer
8;6;3;8;6;3;4;6;4;1;4;9;1;8;5;6;2;4;5;2;Computer Network Architect
2;9;9;9;1;7;1;3;1;0;5;7;2;1;3;7;3;5;2;6;IT Project Manager
3;3;2;9;1;3;0;6;3;8;0;1;8;4;2;0;5;9;0;1;Research Scientist
4;3;4;9;3;8;6;4;4;3;7;1;7;1;1;4;2;2;6;2;Cybersecurity Analyst
8;8;5;4;0;8;4;9;1;2;6;8;5;1;1;1;7;7;9;4;Front End Developer
9;7;2;5;4;9;9;6;8;7;8;2;1;2;0;7;1;9;3;1;Full Stack Developer
3;3;9;2;0;1;6;8;9;5;2;0;9;7;4;5;5;9;9;4;Computer Programmer
2;4;8;9;6;2;0;9;7;5;3;3;5;5;9;1;1;2;3;2;Database Administrator
4;4;5;1;2;0;2;7;7;6;7;5;5;9;6;9;5;5;0;3;Network Administrator
4;2;2;7;1;7;6;1;0;1;9;2;3;6;9;2;9;3;9;3;Network Administrator
3;3;5;6;6;1;9;2;0;9;3;1;9;8;2;6;9;6;8;1;Embedded Systems Engineer
3;8;8;3;0;9;8;4;8;7;9;6;5;3;2;2;0;8;4;9;IT Support Specialist
3;8;2;5;0;9;5;6;8;4;5;8;8;9;2;4;9;4;9;0;Full Stack Developer
4;6;4;5;1;3;2;5;0;7;6;8;6;1;7;1;0;3;4;5;Computer and Information Systems Manager
0;1;6;2;0;4;7;5;2;9;8;7;7;0;6;0;7;1;9;6;Data Scientist
2;3;0;8;4;3;4;7;0;0;1;7;3;7;5;7;4;9;2;5;Business Intelligence Analyst
3;7;6;0;2;1;9;0;0;6;7;2;8;9;3;8;4;1;9;8;Computer Systems Manager
0;0;0;2;4;3;9;9;3;2;7;9;3;9;0;2;0;9;9;8;Back End Developer
5;3;4;1;5;0;5;2;2;1;2;0;3;6;1;6;2;1;1;5;Software Engineer
3;2;1;1;0;5;1;4;1;5;5;4;5;8;7;1;2;8;3;8;Network Engineer
9;9;1;1;2;3;2;7;3;6;7;0;8;1;9;8;2;5;1;5;Back End Developer
5;5;6;0;2;4;8;0;2;3;7;9;5;6;7;9;1;3;4;3;Computer Hardware Engineer
6;3;7;6;2;3;7;2;5;4;0;9;8;4;6;8;1;5;8;3;IT Support Specialist
6;4;8;8;3;2;6;2;5;2;5;2;7;6;9;1;1;6;9;8;Front End Developer
1;2;3;3;1;9;8;8;8;0;7;0;1;8;5;0;3;4;4;4;Business Intelligence Analyst
9;0;1;2;5;0;4;7;7;0;3;6;8;7;5;9;4;6;9;1;IT Consultant
3;0;9;5;9;0;0;0;6;8;0;9;8;3;3;2;7;3;2;5;Technical Support Engineer
5;7;4;5;8;5;7;4;0;3;8;8;9;1;5;6;7;7;7;4;Computer Systems Analyst
2;6;1;0;1;6;1;9;4;3;5;7;2;4;9;4;6;0;1;7;UI/UX Designer
3;4;3;8;9;0;0;4;8;0;3;2;7;6;2;9;0;1;7;9;Web Developer
2;6;0;0;5;7;2;4;7;5;8;8;9;1;3;9;0;5;6;1;Full Stack Developer
5;7;5;8;1;6;8;1;2;5;4;0;3;6;4;5;4;8;4;9;Computer Hardware Engineer
2;6;0;9;6;4;3;5;1;9;8;3;3;4;8;2;6;4;4;3;Database Administrator
2;8;4;2;3;5;5;8;1;1;4;7;6;1;8;6;2;5;6;1;Computer and Information Systems Manager
4;4;1;2;2;1;7;5;0;9;0;0;6;3;2;4;3;7;7;2;Business Intelligence Analyst
6;2;8;2;0;4;9;7;3;0;2;4;3;0;6;7;7;9;3;2;Machine Learning Engineer
1;9;8;4;5;2;9;5;4;5;1;8;1;0;5;3;0;5;9;9;Software Engineer
2;2;1;8;1;3;5;4;6;8;9;4;5;7;1;2;8;9;5;5;Computer Systems Manager
1;9;8;0;0;8;6;5;6;6;7;8;5;1;2;8;3;9;8;6;Web Developer
9;3;1;2;9;0;5;1;9;0;3;3;2;8;7;5;7;9;2;3;Back End Developer
2;8;3;5;1;8;0;7;8;5;7;5;1;7;4;3;0;6;3;4;Artificial Intelligence Engineer
0;9;0;9;9;4;3;1;4;1;2;6;4;7;9;4;5;0;7;9;Mobile App Developer
2;8;7;0;3;1;5;3;5;9;2;8;2;2;6;7;8;9;3;6;IT Support Specialist
9;4;2;6;6;9;6;5;9;8;9;4;3;8;7;9;9;3;9;8;IT Sales Professional
4;9;9;1;5;1;9;7;3;5;4;2;3;5;9;1;2;0;8;4;Software Engineer
7;3;8;2;1;7;3;6;3;4;9;7;1;4;6;5;7;8;6;7;IT Project Manager
8;3;8;6;9;1;4;9;4;4;5;4;0;3;1;0;7;2;8;0;Computer Hardware Engineer
8;5;1;5;2;6;3;6;2;3;9;8;6;1;0;0;5;0;7;8;Game Developer
5;1;0;3;0;5;9;9;5;9;2;3;6;6;7;4;6;3;9;2;Software Tester
0;2;4;6;5;0;3;2;3;4;2;7;8;9;5;3;4;2;9;0;Blockchain Developer
6;7;9;9;4;7;4;4;9;2;9;1;3;8;1;8;3;8;6;6;Software Developer
3;4;3;8;9;4;9;6;5;0;9;9;1;9;4;6;3;7;1;4;Computer Systems Manager
9;7;7;9;8;8;3;4;5;4;9;9;1;0;2;3;8;2;7;0;Technical Writer
0;8;0;2;4;4;6;9;8;4;3;7;4;8;6;4;1;0;5;8;Digital Marketing Specialist
1;5;0;1;8;4;5;5;2;2;6;5;9;3;7;8;4;7;3;1;Software Engineer
2;8;2;0;0;2;9;8;8;2;3;6;9;7;6;5;3;8;6;6;Cybersecurity Analyst
0;7;5;8;0;0;8;3;5;1;4;4;8;9;5;6;9;8;6;2;Blockchain Developer
4;2;6;4;0;4;7;1;5;8;7;5;5;2;7;9;5;9;4;8;Technical Writer
2;9;9;5;9;6;6;5;0;0;5;0;7;6;9;3;8;8;5;1;Computer Programmer
8;8;0;2;0;9;2;1;9;7;4;2;9;6;3;0;6;9;9;4;IT Support Specialist
5;3;8;6;9;8;8;8;9;6;3;6;1;1;8;0;5;9;4;3;Computer Systems Analyst
7;4;7;2;2;8;4;4;7;3;5;6;0;0;4;5;0;0;5;4;Technical Support Engineer
6;1;4;8;3;6;5;1;0;6;1;5;3;3;7;0;4;1;5;1;Game Developer
8;5;3;5;9;2;3;7;1;6;1;0;2;2;3;6;5;3;6;6;Cloud Architect
3;4;7;3;3;6;8;7;2;5;6;5;9;0;5;5;4;4;3;5;DevOps Engineer
8;0;4;0;3;8;9;0;9;1;0;0;9;4;5;0;3;4;9;7;Machine Learning Engineer
6;7;8;3;6;1;7;8;7;9;4;5;0;3;5;9;4;5;3;3;Technical Writer
4;2;5;3;2;3;4;1;2;5;6;4;5;0;3;1;0;1;6;7;IT Sales Professional
2;1;9;5;7;8;1;1;6;3;0;1;3;6;2;1;4;6;0;0;Database Administrator
0;1;6;6;6;5;8;2;7;4;2;0;2;3;8;6;2;9;4;2;Mobile App Developer
6;5;2;3;0;7;9;8;0;2;6;5;3;8;8;5;5;5;2;4;Computer Programmer
7;6;6;8;5;0;9;6;4;6;0;2;9;0;9;0;6;0;5;6;Computer and Information Research Scientist
3;6;8;1;5;8;2;8;4;1;7;5;6;0;1;9;8;5;7;9;Network Engineer
7;8;2;9;9;0;8;4;4;1;3;2;6;8;2;0;0;2;6;0;Full Stack Developer
0;4;7;0;1;7;6;8;9;7;2;1;5;1;0;1;6;3;2;2;Blockchain Developer
8;4;7;2;1;8;7;7;7;1;4;7;9;5;9;9;3;0;3;0;Computer Science Teacher
4;5;8;1;1;8;7;5;3;1;3;7;2;9;3;3;5;9;5;9;Computer Systems Manager
0;1;0;4;5;1;5;9;6;3;5;3;0;8;8;2;4;5;2;5;Software Developer
5;6;9;6;9;6;8;9;3;1;7;6;5;2;4;2;1;2;2;3;IT Project Manager
1;4;9;3;9;8;1;2;5;7;5;9;2;1;8;5;4;7;4;6;Machine Learning Engineer
9;8;4;3;6;1;1;4;3;0;5;4;5;6;0;5;1;5;0;4;Research Scientist
2;8;0;5;6;7;0;1;3;9;3;4;7;0;9;1;7;0;1;9;Full Stack Developer
8;9;6;7;3;9;4;3;5;3;1;6;1;8;3;7;5;7;5;0;Computer Network Architect
9;4;2;2;8;6;0;0;4;9;0;4;3;4;8;8;1;0;8;2;Software Tester
4;2;0;8;5;5;1;3;9;8;5;1;4;4;3;2;6;3;7;2;Network Engineer
5;5;2;2;1;9;9;0;9;6;9;1;9;5;1;7;5;1;3;6;IT Sales Professional
